Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
c40efbc890d1a8af73e642ec10fbefd60864ef6a,"Refactor logging configuration and adjust log levels in memory service

- Updated `logging_config.py` to improve clarity in third-party logger management by renaming the list and adding new loggers.
- Changed log level from `info` to `debug` in `service.py` for better granularity in message processing feedback.",['e16653b1503be44fc43bffc6f13ecbd28dc552bf'],False,"['browser_use/agent/memory/service.py', 'browser_use/logging_config.py']"
1b425cd93aa02133ccb5fc4766f69caed30ae3c0,"Enhancement/logger (#1730)

This pull request includes changes to improve logging practices and
enhance the initialization process for the `browser_use` agent. The most
important updates include switching certain log messages to `DEBUG`
level, refining the agent initialization log message, and adjusting
third-party logger configurations to reduce noise.

### Logging Improvements:
* Changed log messages in `create_procedural_memory` to use `DEBUG`
level instead of `INFO` to reduce verbosity during normal operation
(`browser_use/agent/memory/service.py`).
[[1]](diffhunk://#diff-a3c320628430592fb71c39d0df307f06b3ddd3d9b6fa1ca516667115f8714687L92-R92)
[[2]](diffhunk://#diff-a3c320628430592fb71c39d0df307f06b3ddd3d9b6fa1ca516667115f8714687L111-R111)
* Adjusted third-party logger configurations to include additional
libraries (e.g., `mem0` and its submodules) and set their logging level
to `ERROR` to minimize unnecessary log output
(`browser_use/logging_config.py`).
[[1]](diffhunk://#diff-2033661f4473afd729b7a1f7dc07d954eae5d282836ab38d4f7b4e915b6bb643L113-R114)
[[2]](diffhunk://#diff-2033661f4473afd729b7a1f7dc07d954eae5d282836ab38d4f7b4e915b6bb643L129-R135)

### Initialization Enhancements:
* Refined the agent initialization log message to include more dynamic
details, such as conditional inclusion of `planner_model` and appending
the version at the end, for better clarity and consistency
(`browser_use/agent/service.py`).
    
<!-- This is an auto-generated description by cubic. -->
---

## Summary by cubic
Improved logging for the browser_use agent by switching some messages to
DEBUG level, refining initialization logs, and reducing noise from
third-party libraries.

- **Logging Improvements**
  - Changed procedural memory logs from INFO to DEBUG.
  - Updated third-party logger settings to silence extra output.
- Enhanced agent initialization log with clearer, more detailed
information.

<!-- End of auto-generated description by cubic. -->","['e16653b1503be44fc43bffc6f13ecbd28dc552bf', '4c75ecd25ee907f8b4b69a10fb7fab8a8e0b74e7']",True,[]
bd4091fd1a6ca51a939cfd8095a9c7dcf7ff4ef6,remove old debug messages,['a68b371ab539d2c30541da3b9cb246ed98a369ba'],False,['eval/service.py']
f39a5def468003054b9460de95c8661df05f370b,remove debug logs,['bd4091fd1a6ca51a939cfd8095a9c7dcf7ff4ef6'],False,['browser_use/browser/profile.py']
51f0f9792c70d57794dbaa95448459e05fda315f,Update 2_bug_report.yml,['aa6c7c58e13c5497685907948b61c6c2a8b956c1'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
4cec3184ef038295d0bbd3b79ab2073a8809b386,Update 2_bug_report.yml,['51f0f9792c70d57794dbaa95448459e05fda315f'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
ad7863b2b0c2d3f9ca3619102ef83980b1c96292,Update 2_bug_report.yml,['4cec3184ef038295d0bbd3b79ab2073a8809b386'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
11bc7be7101bc41d0fa2750781a4e5e47e934943,Update 2_bug_report.yml,['ad7863b2b0c2d3f9ca3619102ef83980b1c96292'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
c5b3f39c6fc07898730b2ac0da9bd86e5d22dd0a,Update 2_bug_report.yml,['11bc7be7101bc41d0fa2750781a4e5e47e934943'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
31490c46b41c6b2c3400ea1499521042e9275caf,Update 2_bug_report.yml,['c5b3f39c6fc07898730b2ac0da9bd86e5d22dd0a'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
95299f7fd39efd80ee50b76c3f517d998495dd64,Update 2_bug_report.yml,['31490c46b41c6b2c3400ea1499521042e9275caf'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
d1cafac2fca7b52310c5502b302f7e5b8232c2a3,Update 2_bug_report.yml,['95299f7fd39efd80ee50b76c3f517d998495dd64'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
6d249658a314b395ac3c9c55f1abd99bd41be3e7,Update 2_bug_report.yml,['d1cafac2fca7b52310c5502b302f7e5b8232c2a3'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
7ff11494c1da5f43945793cce1a5d53202fe5a7a,Update 2_bug_report.yml,['6d249658a314b395ac3c9c55f1abd99bd41be3e7'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
8ff41ac3f3aaf86c107861f5efb60f8cdb4682f3,Update 2_bug_report.yml,['7ff11494c1da5f43945793cce1a5d53202fe5a7a'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
d919a3a2dfb2b11cbfb9517c8f90a44312926f57,Update 2_bug_report.yml,['8ff41ac3f3aaf86c107861f5efb60f8cdb4682f3'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
53b934bec8e50b34d14b7dbf6134326e245185e2,Update 1_element_detection_bug.yml,['d919a3a2dfb2b11cbfb9517c8f90a44312926f57'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
0108ec989f51660345c7bb93e080c287ebca7582,Update 1_element_detection_bug.yml,['53b934bec8e50b34d14b7dbf6134326e245185e2'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
6c488693b7ac9028029461398b502b59547af1e9,Update 1_element_detection_bug.yml,['0108ec989f51660345c7bb93e080c287ebca7582'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
e35a2e25ebe846e5190cb38c7e6d03614ee7b740,Update 1_element_detection_bug.yml,['6c488693b7ac9028029461398b502b59547af1e9'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
6b186c439c2514de16c1dd03bca2fbca9796d1fb,Update 1_element_detection_bug.yml,['e35a2e25ebe846e5190cb38c7e6d03614ee7b740'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
30eba644edc573dbfc279832e6500aabdab7328e,Update 1_element_detection_bug.yml,['6b186c439c2514de16c1dd03bca2fbca9796d1fb'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
05f563a87860fcbe12478b7fa81f2ecf255fa1e5,Update 2_bug_report.yml,['30eba644edc573dbfc279832e6500aabdab7328e'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
5d9c84d8dda51ce77e2011293a3a0cbdaf8459da,Update 2_bug_report.yml,['ee9b178fc8270821f4ed21f7e2d7b9dd4ba470de'],False,['.github/ISSUE_TEMPLATE/2_bug_report.yml']
115b3a6d80a68cb769862117878aba16061b3ba8,Update 1_element_detection_bug.yml,['5d9c84d8dda51ce77e2011293a3a0cbdaf8459da'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
6cb374e15f5fa1fdd20de7ac05b6eba1c7719ca7,Update 1_element_detection_bug.yml,['115b3a6d80a68cb769862117878aba16061b3ba8'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
3807f9fe0f9def6e1b2b83a2365fefe4ca0378f1,Update 1_element_detection_bug.yml,['0eb186023f8fb808aae94b66f566fc8de80f47c4'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
72ec489c0809f08e9d656842e3609eb25599cd66,Update 1_element_detection_bug.yml,['3807f9fe0f9def6e1b2b83a2365fefe4ca0378f1'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
12e43ba662f8093b7d74af91cce04dcd5215cf9f,Update 1_element_detection_bug.yml,['72ec489c0809f08e9d656842e3609eb25599cd66'],False,['.github/ISSUE_TEMPLATE/1_element_detection_bug.yml']
cb4a5145f22acb456cbfce885aa57d0a30604831,fix two bugs in BrowserSession and controller action passing,['12e43ba662f8093b7d74af91cce04dcd5215cf9f'],False,"['browser_use/browser/session.py', 'browser_use/controller/registry/service.py']"
b92fffae2e2e2f2499f387879c89dc3553a2fc76,fix google sheets example,['c033dea121935bd6e68360967774810ae638219b'],False,"['browser_use/controller/registry/service.py', 'browser_use/controller/service.py', 'examples/use-cases/google_sheets.py']"
e39da12f8dbeaa3c50050368ea2ba299a5220bf7,"Refactor logging in Agent class to improve verbosity control

- Changed the log level for total input tokens from INFO to DEBUG to reduce verbosity during normal operation.
- Removed an INFO log statement for telemetry logging to streamline logging output and focus on error handling.",['2d71f4cea30138e42306581e0f5b025929397c3e'],False,['browser_use/agent/service.py']
9261112c5168baa80762622769a4ad512ff5b822,"Add new action to retrieve accessibility tree from the current page

- Introduced a new asynchronous action `get_ax_tree` that extracts the accessibility tree of the current page in a ""role name"" format.
- Implemented a helper function to flatten the accessibility tree structure and log the results.
- Enhanced logging to provide insights into the accessibility structure of the page for better debugging and analysis.",['e39da12f8dbeaa3c50050368ea2ba299a5220bf7'],False,['browser_use/controller/service.py']
faa655e02c2a0a91b5639f27590fadb037a6c7cf,"Fix typo in children count print statement in accessibility playground test

- Corrected a syntax error in the print statement that outputs the number of children nodes, ensuring proper formatting and clarity in the output.",['748b5edce37d06d561f00d5de8edbb5dd4ce989b'],False,['browser_use/dom/tests/test_accessibility_playground.py']
6c74b09e22e9b88dafd4ea1299e9e03ce1a47f1b,fix keep_alive logic,['11eabb3601259b447e7a04093bf74bf665de0d26'],False,['browser_use/browser/session.py']
f94817f0219cf84fbce26e41310938f7f2d6a7a1,"Enhancement/accessibility tree (#1749)

This pull request introduces several changes focused on improving
logging, enhancing content extraction capabilities, and adding
accessibility tree handling. Additionally, it includes a new test script
for accessibility tree exploration.

### Logging Improvements:
* Changed logging level for total input tokens from `info` to `debug` in
the `log_completion` method to reduce verbosity in production logs.
(`browser_use/agent/service.py`,
[browser_use/agent/service.pyL1153-R1152](diffhunk://#diff-3736f406057606f65f3ea79952b7f0ec8f8a22f25a49d7a0771f4cfbf43cbb92L1153-R1152))
* Removed a redundant log message in the `on_force_exit_log_telemetry`
method to streamline logging. (`browser_use/agent/service.py`,
[browser_use/agent/service.pyL995](diffhunk://#diff-3736f406057606f65f3ea79952b7f0ec8f8a22f25a49d7a0771f4cfbf43cbb92L995))

### Content Extraction Enhancements:
* Updated the `extract_content` method to include a new `include_links`
parameter, allowing more control over whether links are included in the
extracted content. (`browser_use/controller/service.py`,
[browser_use/controller/service.pyL227-R239](diffhunk://#diff-af6f6bc87d2d09d2a9f08f03fc959eb25b5637f37e959ec655daeba030ede225L227-R239))

### Accessibility Tree Handling:
* Added a new `get_ax_tree` method to retrieve and flatten the
accessibility tree of a webpage, providing detailed role and name
information for accessibility analysis.
(`browser_use/controller/service.py`,
[browser_use/controller/service.pyR263-R284](diffhunk://#diff-af6f6bc87d2d09d2a9f08f03fc959eb25b5637f37e959ec655daeba030ede225R263-R284))

### New Accessibility Test Script:
* Introduced `test_accessibility_playground.py`, a script for extracting
and analyzing accessibility trees from webpages. This script supports
experimentation and debugging of accessibility-related features.
(`browser_use/dom/tests/test_accessibility_playground.py`,
[browser_use/dom/tests/test_accessibility_playground.pyR1-R95](diffhunk://#diff-9d88cc87f14dd44022d1e35c416f43d86974cb8f157c92b1ef320a96004d51efR1-R95))
    
<!-- This is an auto-generated description by cubic. -->
---

## Summary by cubic
Improved logging, added an option to include links in content
extraction, and introduced accessibility tree handling with a new test
script.

- **New Features**
- Added a method to retrieve and flatten the accessibility tree of a
webpage.
- Introduced a test script for extracting and analyzing accessibility
trees.
  - Updated content extraction to support including links.

- **Bug Fixes**
- Reduced logging verbosity by changing token count logs to debug level
and removing a redundant log message.

<!-- End of auto-generated description by cubic. -->","['12e43ba662f8093b7d74af91cce04dcd5215cf9f', '90cdcf6064f018e10bc13619b41ac1e91d185411']",True,[]
c50b3bd8285294f25516c2a4dd187a93543c51cc,fix browser_session decorating,['6c74b09e22e9b88dafd4ea1299e9e03ce1a47f1b'],False,['browser_use/controller/service.py']
03cbb832e2a0231d64bf6c0140991f8a9c1a42b2,Fix #1747: use model_validate for MemoryConfig re-validation under Pydantic v2,['12e43ba662f8093b7d74af91cce04dcd5215cf9f'],False,['browser_use/agent/memory/service.py']
643a88b73412d1fcda9db31840dae6b5885fb5f4,"Fix async function call in Google Sheets select_cell_or_range

Made select_cell_or_range an async function and properly await the call to _select_cell_or_range to fix TypeError.

🤖 Generated with [Claude Code](https://claude.ai/code)

Co-Authored-By: Claude <noreply@anthropic.com>",['187641f6956177fdedf2901fdd8b468f66f726ed'],False,['browser_use/controller/service.py']
b8c0959851602d944e8a30fd43ed750d2a0cf9c3,Merge branch 'main' into fix/memoryconfig-pydantic-v2,"['03cbb832e2a0231d64bf6c0140991f8a9c1a42b2', 'f94817f0219cf84fbce26e41310938f7f2d6a7a1']",True,[]
dcfc6a4c8e36434c41921a1a0787843cda7e7df4,fix browser_session tests,['1733bc965430855add2c8d9ebc7a2f85cbf82d97'],False,['tests/test_browser_session.py']
291eb86eb3e83c336581dc86c7a9f1c8ad8b054c,fix tests,['dcfc6a4c8e36434c41921a1a0787843cda7e7df4'],False,['tests/test_url_allowlist_security.py']
651db76040ef67d0f89b4da652dd86894e9fa372,fix multiple browser_session arg error,['a17ee667d85e6bce602c2b0ef669df750fce49a3'],False,"['browser_use/controller/registry/service.py', 'browser_use/controller/service.py']"
c2d1ec50dceae2ba25fefdca60837df193b9e67d,"refactor run task function and exception handling to be more elegant, and add fix for gpt-o4-mini",['b8c453ee47168f1f8b0af5d89464ff1f1f59b6c0'],False,"['eval/service copy.py', 'eval/service.py']"
8233338d1f5951e6eef225d2a55c459120a54d3f,new fix for gpt-o4-mini,['c2d1ec50dceae2ba25fefdca60837df193b9e67d'],False,['eval/service.py']
472d462fa7a43a9a7a4b184dcb3a91ac7a5c1982,minor fixes for proxy models and positional args in google sheets actions,['651db76040ef67d0f89b4da652dd86894e9fa372'],False,"['browser_use/controller/service.py', 'tests/test_browser_config_models.py']"
3940462d8d5988b37d4fc5ba0ab8e56cdb86ae7d,"Potential fix for code scanning alert no. 28: Workflow does not contain permissions

Co-authored-by: Copilot Autofix powered by AI <62310815+github-advanced-security[bot]@users.noreply.github.com>",['f6ca4e13a38351efe0003b31db73217d70c21087'],False,['.github/workflows/test.yaml']
32006bb272f42a1aea3219fbf26baba5f5702aa5,fix tests,['3940462d8d5988b37d4fc5ba0ab8e56cdb86ae7d'],False,['tests/ci/test_tab_management.py']
52f913278acb204de6c6e25df6c2b67f12a972f8,"Stricter security for allowed_domains `*.` glob logic, and allow enforcing scheme as well as domain: `https://domain`, better logging, new loading animation (#1750)

- `sensitive_data` now expects a safer nested `dict`: `{'*.example.com':
{'x_passcode': '1234'}}` scoped per domain (and also supports
`scheme://` too, same as below)
  - forces users to scope sensitive data on a per-domain basis
- still accepts the old less secure flat `{key: val}` for now & prints a
⚠️ warning to migrate (may become an ❌ error in future versions)
- if for some crazy reason you still want to expose `sensitive_data` to
*all* domains on both http and https, you can set `{'http*://*.*': {key:
val}}`

- `allowed_domain` now supports `scheme://` + domain patterns for added
security and flexiblity: `http*://`, `chrome://*`, `ftp://*.example.com`
- `allowed_domains=[""http*://*.google.com""]` matches =>
`http://google.com/*`, `https://auth.google.com/*`, etc.
- `allowed_domains[""chrome-extension://*"", ""brave://version""]` supports
other schemes
- `allowed_domains=[""*.example.com""]` if no scheme given, assumes https
=> `https://*.example.com/*`
- `allowed_domains=[""google.*""]` matching any `*` TLD is not allowed for
security reasons

- debug and info logging is significantly improved all around

<img width=""1357"" alt=""image""
src=""https://github.com/user-attachments/assets/08a12307-5445-4bd7-b725-9c7b25f59268""
/>


- added fun dvd screensaver loading animation to browsers on initial
connection

<img width=""1441"" alt=""Screenshot 2025-05-23 at 12 55 14 AM""
src=""https://github.com/user-attachments/assets/877df7f1-6137-4afc-bdb8-11bcac52a642""
/>


<!-- This is an auto-generated description by cubic. -->

## Summary by cubic
Improved security for allowed_domains by making glob pattern matching
stricter and adding support for scheme:// checks. This prevents unsafe
domain matches and allows more precise control over which URLs are
permitted.

- **Bug Fixes**
- Fixed glob patterns so that only valid subdomain patterns like
*.google.com are allowed, blocking unsafe matches like *good.com.
- Added support for matching full scheme://domain patterns (e.g.,
https://example.com, chrome-extension://*).
  - Updated tests to cover new edge cases and ensure correct behavior.

<!-- End of auto-generated description by cubic. -->","['f94817f0219cf84fbce26e41310938f7f2d6a7a1', '39ef1e5d091e40b640a73c3a514098745d923413']",True,[]
22bf1c30c6c7f90e97379d29f93972ceecd3790c,Merge branch 'main' into bug-bash,"['972c50f1d5b477a6df38424511f83ab3ab160580', '37f97256745c3560b5403e74de5fed3ebced5ba1']",True,[]
4c66de576ac4f39fec80fe9335434c991fc73548,"Fix Bugs - Null Checking, API Changes, Conditional Logics (#1720)","['37f97256745c3560b5403e74de5fed3ebced5ba1', 'cbdaac7ef0742c18f3538b1907c84adff784ad9d']",True,[]
2cba10dafc4325fe95e5a4ca6dc527a43068710b,Codestyle fixes,['5da261310ba61373d9546eaa6a817049ca75b9c5'],False,['browser_use/browser/session.py']
556ea3162382d88b6d7f6114669a39c539515aa7,Fix imports of DeepSeek examples in docs,['667e8898306a0a3bbc3a30971ecb34b01cf61b4f'],False,['docs/customize/supported-models.mdx']
aff5f23d0631e55f50f693790414dc28f85d9ec9,fix icon,['d7267a35c70ab7ec5874158ed657a08c1629604f'],False,['docs/customize/real-browser.mdx']
f626eefcec5da4806e02f5dfa87f269fc017ee25,fix icon,['3b72276f2f8656fd955432e97fbed772f7f3c525'],False,['docs/customize/real-browser.mdx']
b7de6e6e8d5bcbcd2a5aceb2a77c6d77ee903112,Merge branch 'main' into fix/memoryconfig-pydantic-v2,"['b8c0959851602d944e8a30fd43ed750d2a0cf9c3', '6047bb5b43e8e9e7c8d09a4a1c33bfd76b176d8d']",True,[]
0d08077b0262210dff4f7f4d043f35d3f279291a,Fix imports of DeepSeek examples in docs (#1753),"['6047bb5b43e8e9e7c8d09a4a1c33bfd76b176d8d', '556ea3162382d88b6d7f6114669a39c539515aa7']",True,[]
c5e5e322fecc984760a158f92e7b0bdbce6b036e,Fix #1747: use model_validate for MemoryConfig re-validation under Pydantic v2 (#1751),"['18830912045c472b1def0f2105153d9f51af3bed', 'c2114cdb2178f1e41c2bc60cf6eedafbdb749268']",True,[]
272293da4a5d8471da3b9148c13eee06faf3db72,fix variable naming,['f626eefcec5da4806e02f5dfa87f269fc017ee25'],False,"['browser_use/agent/service.py', 'tests/test_browser_window_size_height.py', 'tests/test_browser_window_size_height_no_viewport.py']"
59d0254181e1802ec7d8bd99712eb2d3c84cfe29,Fix old browser_context variables to be browser_session (#1761),"['c5e5e322fecc984760a158f92e7b0bdbce6b036e', '272293da4a5d8471da3b9148c13eee06faf3db72']",True,[]
815ae489382d53767b119ef616da32d8127ef41a,fix pypi publish action,['59d0254181e1802ec7d8bd99712eb2d3c84cfe29'],False,"['.github/workflows/publish.yml', 'tests/test_browser_window_size_height.py']"
e19e1c5dfc269996eefb39328c3a75d35b521a1f,fix ci tests,['f4d566e8e224ea23edab4bfd4b5eab7b4c808f9d'],False,['.github/workflows/test.yaml']
9fcd5cd7b2c7920aead49d369e0598d0ea6afa47,debugging tests discovery,['e19e1c5dfc269996eefb39328c3a75d35b521a1f'],False,['.github/workflows/test.yaml']
7540fdbf71e7ebaf3a9df51863e0c996ab2eb0a7,fix string math error,['06ee004a882edebf005adaa172de631a7ef20865'],False,['examples/browser/window_sizing.py']
f8967a12f446bcb0cc1995c4a7db622279846729,reuse patchright instance,['7540fdbf71e7ebaf3a9df51863e0c996ab2eb0a7'],False,['examples/browser/stealth.py']
3d10260543092dc9b2217a2bfdaaa087a963252f,fix missing link between find_tests and test job in CI,['37a36dbd28b76aa6db3e632f58079aa27696171a'],False,['.github/workflows/test.yaml']
bad374ba68710e21bd7c5ed7b58584ac2d8148dc,make logging more error resilient,['fd555173e90010627608edb50115db670e89da76'],False,"['browser_use/agent/message_manager/service.py', 'browser_use/agent/service.py', 'browser_use/utils.py']"
8ae6ff00462cb85c80e08930fb0661e741c93900,"Fix window resizing on startup, fix PyPI publish action, improve logging, ensure BrowserSession.start() is always automatic at startup (#1764)","['59d0254181e1802ec7d8bd99712eb2d3c84cfe29', '08726575ac3005f4f262fff8b6ed0612a4b7a2eb']",True,[]
4196e79faa6172e340d30ea6f09609ee0d6c60ae,fix publish action,['8ae6ff00462cb85c80e08930fb0661e741c93900'],False,['.github/workflows/publish.yml']
